v1,v2,v3,v4,v5,v6,v7
0.000,0.000,0.890,0.000,0.000,0.000,0.000
0.035,0.000,0.950,0.005,0.000,0.000,0.025
0.000,0.000,0.900,0.000,0.000,0.000,0.005
0.005,0.020,0.015,0.380,0.000,0.015,0.005
0.000,0.065,0.025,0.480,0.005,0.030,0.000
0.010,0.035,0.035,0.450,0.010,0.030,0.010
0.035,0.000,0.840,0.005,0.000,0.000,0.015
0.000,0.000,0.900,0.005,0.000,0.000,0.000
0.000,0.000,0.915,0.000,0.000,0.000,0.000
0.005,0.040,0.050,0.455,0.000,0.030,0.000
0.005,0.025,0.020,0.425,0.000,0.020,0.005
0.010,0.025,0.015,0.455,0.000,0.030,0.005
0.050,0.070,0.790,0.080,0.130,0.090,0.110
0.020,0.000,0.040,0.330,0.005,0.000,0.000
0.010,0.035,0.035,0.430,0.010,0.030,0.010
0.000,0.000,0.675,0.000,0.000,0.000,0.000
0.010,0.075,0.010,0.515,0.000,0.035,0.000
0.010,0.000,0.960,0.010,0.000,0.000,0.000
0.110,0.110,0.105,0.470,0.115,0.100,0.100
0.035,0.005,0.035,0.465,0.005,0.015,0.000
0.005,0.020,0.050,0.425,0.000,0.025,0.000
0.000,0.000,0.850,0.000,0.000,0.000,0.000
0.000,0.000,0.810,0.000,0.005,0.000,0.000
0.020,0.015,0.045,0.700,0.030,0.030,0.000
0.000,0.050,0.025,0.425,0.005,0.030,0.000
0.000,0.070,0.020,0.475,0.005,0.025,0.000
0.010,0.020,0.035,0.470,0.005,0.010,0.000
0.000,0.000,0.990,0.000,0.000,0.000,0.000
0.000,0.000,0.840,0.010,0.005,0.000,0.000
0.000,0.000,0.775,0.000,0.000,0.000,0.000
0.000,0.000,0.545,0.000,0.000,0.000,0.000
0.025,0.000,0.035,0.350,0.005,0.000,0.000
0.005,0.000,0.975,0.000,0.000,0.000,0.000
0.030,0.000,0.055,0.330,0.000,0.000,0.000
0.055,0.070,0.885,0.065,0.125,0.100,0.110
0.005,0.020,0.055,0.415,0.000,0.020,0.000
0.000,0.000,0.800,0.000,0.000,0.000,0.000
0.020,0.000,0.480,0.000,0.000,0.000,0.015
0.005,0.020,0.050,0.440,0.000,0.025,0.000
0.005,0.035,0.040,0.435,0.000,0.025,0.000
0.030,0.040,0.025,0.475,0.005,0.005,0.010
0.025,0.035,0.025,0.465,0.005,0.005,0.010
