v1,v2,v3,v4,v5,v6,v7
0.110,0.145,0.110,0.765,0.125,0.165,0.105
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.020,0.020,0.070,0.175,0.005,0.005,0.000
0.050,0.060,0.045,0.280,0.025,0.000,0.010
0.025,0.020,0.070,0.255,0.005,0.000,0.000
0.145,0.115,0.170,0.410,0.140,0.110,0.110
0.035,0.005,0.095,0.250,0.005,0.015,0.000
0.130,0.115,0.210,0.370,0.120,0.105,0.095
0.070,0.055,0.115,0.460,0.005,0.025,0.015
0.120,0.160,0.140,0.330,0.125,0.120,0.110
0.115,0.055,0.105,0.385,0.045,0.025,0.020
0.030,0.020,0.120,0.190,0.005,0.000,0.000
0.015,0.015,0.100,0.200,0.000,0.010,0.000
0.095,0.015,0.095,0.235,0.030,0.015,0.010
0.045,0.010,0.075,0.240,0.000,0.000,0.000
0.045,0.010,0.120,0.240,0.000,0.005,0.020
0.100,0.055,0.145,0.420,0.040,0.005,0.015
0.020,0.020,0.135,0.305,0.010,0.005,0.000
0.130,0.110,0.120,0.415,0.140,0.120,0.210
0.090,0.120,0.120,0.220,0.140,0.110,0.100
0.025,0.010,0.080,0.205,0.000,0.005,0.005
0.025,0.010,0.105,0.295,0.020,0.000,0.005
0.110,0.090,0.175,0.230,0.130,0.095,0.105
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.055,0.030,0.200,0.230,0.010,0.060,0.000
0.095,0.040,0.190,0.320,0.025,0.015,0.010
0.030,0.025,0.095,0.225,0.005,0.015,0.005
0.115,0.095,0.165,0.265,0.125,0.115,0.110
0.195,0.090,0.140,0.265,0.145,0.110,0.110
0.030,0.020,0.185,0.210,0.010,0.005,0.000
0.050,0.005,0.090,0.175,0.010,0.000,0.000
0.110,0.100,0.110,0.275,0.145,0.105,0.105
0.130,0.145,0.225,0.415,0.150,0.110,0.110
0.020,0.010,0.080,0.215,0.000,0.000,0.005
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.010,0.005,0.095,0.150,0.000,0.015,0.000
0.115,0.085,0.095,0.340,0.130,0.110,0.100
0.035,0.065,0.055,0.200,0.005,0.010,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.020,0.055,0.075,0.775,0.005,0.125,0.000
0.025,0.005,0.125,0.200,0.010,0.015,0.025
0.050,0.015,0.185,0.225,0.005,0.010,0.005
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.030,0.030,0.070,0.220,0.005,0.020,0.005
0.010,0.005,0.030,0.240,0.005,0.000,0.000
0.020,0.005,0.060,0.190,0.010,0.000,0.000
0.020,0.010,0.075,0.185,0.000,0.015,0.000
0.165,0.110,0.160,0.350,0.150,0.110,0.105
0.105,0.100,0.110,0.240,0.145,0.105,0.095
0.015,0.030,0.125,0.255,0.010,0.000,0.000
0.035,0.035,0.075,0.240,0.015,0.015,0.010
0.110,0.105,0.120,0.225,0.135,0.110,0.105
0.025,0.010,0.065,0.170,0.000,0.000,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.105,0.115,0.125,0.250,0.150,0.110,0.110
0.145,0.090,0.135,0.295,0.140,0.110,0.110
0.195,0.050,0.190,0.390,0.040,0.060,0.020
0.020,0.010,0.075,0.185,0.000,0.000,0.000
0.020,0.035,0.075,0.280,0.015,0.010,0.005
0.120,0.100,0.210,0.275,0.155,0.100,0.115
0.015,0.015,0.100,0.210,0.005,0.000,0.000
0.005,0.005,0.085,0.145,0.000,0.000,0.000
0.115,0.125,0.180,0.425,0.115,0.105,0.105
0.015,0.015,0.070,0.235,0.010,0.000,0.010
0.105,0.110,0.130,0.230,0.135,0.110,0.105
0.015,0.015,0.065,0.130,0.005,0.000,0.005
0.105,0.125,0.150,0.335,0.125,0.110,0.105
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.115,0.105,0.120,0.205,0.120,0.100,0.105
0.150,0.040,0.195,0.350,0.050,0.090,0.025
0.030,0.035,0.110,0.340,0.015,0.005,0.000
0.095,0.130,0.175,0.375,0.130,0.105,0.105
0.020,0.010,0.090,0.220,0.000,0.010,0.005
0.120,0.110,0.110,0.245,0.135,0.110,0.105
0.095,0.110,0.115,0.300,0.130,0.105,0.100
0.060,0.015,0.115,0.175,0.000,0.000,0.005
0.005,0.025,0.035,0.190,0.005,0.000,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.125,0.090,0.170,0.340,0.145,0.115,0.095
0.025,0.005,0.085,0.220,0.005,0.000,0.000
0.090,0.045,0.160,0.350,0.030,0.020,0.000
0.135,0.115,0.175,0.455,0.145,0.120,0.090
0.125,0.095,0.115,0.250,0.135,0.110,0.115
0.035,0.025,0.080,0.245,0.000,0.010,0.000
0.020,0.010,0.085,0.210,0.005,0.005,0.000
0.020,0.020,0.055,0.160,0.000,0.000,0.000
0.065,0.090,0.140,0.380,0.020,0.020,0.005
0.115,0.120,0.140,0.295,0.115,0.100,0.090
0.130,0.110,0.180,0.405,0.140,0.105,0.105
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.125,0.110,0.150,0.365,0.155,0.115,0.110
0.055,0.005,0.100,0.295,0.015,0.010,0.010
0.150,0.125,0.120,0.440,0.135,0.110,0.090
0.110,0.115,0.180,0.280,0.145,0.105,0.100
0.030,0.030,0.065,0.235,0.010,0.015,0.005
0.020,0.005,0.115,0.165,0.000,0.005,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.235,0.125,0.195,0.400,0.170,0.135,0.105
0.140,0.160,0.180,0.270,0.135,0.125,0.105
0.010,0.025,0.050,0.275,0.010,0.000,0.005
0.045,0.015,0.095,0.350,0.025,0.005,0.005
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.140,0.125,0.125,0.475,0.135,0.105,0.105
0.070,0.020,0.280,0.295,0.035,0.185,0.020
0.320,0.055,0.195,0.430,0.050,0.015,0.020
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.035,0.015,0.105,0.210,0.010,0.025,0.005
0.025,0.025,0.080,0.295,0.000,0.010,0.000
