v1,v2,v3,v4,v5,v6,v7
0.095,0.035,0.980,0.020,0.055,0.010,0.015
1.000,0.010,0.275,0.080,0.190,0.000,0.330
0.155,0.055,1.000,0.085,0.045,0.005,0.005
0.000,0.000,1.000,0.000,0.000,0.000,0.000
0.070,0.000,1.000,0.030,0.015,0.010,0.010
0.090,0.000,0.995,0.010,0.010,0.000,0.005
1.000,0.000,0.260,0.025,0.250,0.005,0.300
1.000,0.000,0.195,0.050,0.235,0.005,0.340
0.950,0.070,0.360,0.170,0.350,0.100,0.270
0.105,0.110,0.255,1.000,0.055,0.135,0.005
0.030,0.005,1.000,0.015,0.000,0.020,0.005
0.020,0.000,1.000,0.005,0.015,0.000,0.000
1.000,0.000,0.115,0.000,0.200,0.000,0.305
0.205,0.070,0.995,0.095,0.040,0.010,0.050
0.130,0.000,1.000,0.060,0.020,0.000,0.020
0.485,0.005,0.240,0.070,0.990,0.000,0.120
1.000,0.000,0.205,0.000,0.105,0.000,0.270
0.070,0.090,0.110,0.995,0.020,0.060,0.010
0.085,0.050,0.175,0.995,0.050,0.220,0.010
0.010,0.000,0.995,0.010,0.000,0.000,0.000
0.145,0.110,0.985,0.140,0.085,0.020,0.015
0.010,0.000,0.985,0.020,0.000,0.000,0.000
0.220,0.180,0.215,1.000,0.190,0.250,0.020
1.000,0.000,0.190,0.060,0.165,0.000,0.300
1.000,0.000,0.190,0.000,0.085,0.000,0.235
0.000,0.000,0.985,0.000,0.000,0.000,0.005
0.015,0.000,1.000,0.000,0.000,0.000,0.000
0.925,0.095,0.315,0.170,0.315,0.110,0.250
0.090,0.045,0.110,0.990,0.020,0.095,0.000
1.000,0.000,0.150,0.150,0.180,0.000,0.265
0.010,0.000,0.895,0.000,0.010,0.000,0.005
0.050,0.105,0.130,1.000,0.040,0.165,0.000
0.095,0.065,0.105,0.995,0.120,0.080,0.000
0.130,0.185,0.270,0.810,0.130,0.995,0.125
0.000,0.000,0.985,0.015,0.000,0.000,0.000
1.000,0.010,0.175,0.075,0.135,0.000,0.285
0.110,0.090,0.090,1.000,0.035,0.165,0.000
1.000,0.000,0.180,0.005,0.270,0.000,0.270
0.005,0.000,1.000,0.005,0.005,0.000,0.000
0.010,0.000,1.000,0.000,0.000,0.000,0.000
0.070,0.005,0.075,1.000,0.040,0.045,0.005
0.195,0.065,1.000,0.080,0.040,0.000,0.010
0.115,0.050,0.125,1.000,0.010,0.110,0.015
0.010,0.005,1.000,0.005,0.000,0.000,0.010
0.180,0.060,1.000,0.110,0.030,0.000,0.035
0.070,0.090,0.340,0.835,0.005,1.000,0.015
0.830,0.005,0.280,0.040,0.155,0.005,0.195
0.150,0.040,0.130,1.000,0.070,0.060,0.015
0.620,0.010,0.215,0.125,1.000,0.000,0.070
0.930,0.035,0.400,0.220,0.300,0.015,0.375
0.165,0.105,0.160,1.000,0.045,0.165,0.010
0.130,0.005,0.125,1.000,0.080,0.025,0.010
0.065,0.080,0.995,0.060,0.025,0.005,0.020
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.080,0.000,0.995,0.010,0.000,0.000,0.020
0.035,0.005,0.985,0.000,0.010,0.000,0.000
0.035,0.000,0.990,0.020,0.000,0.000,0.000
0.205,0.020,0.165,1.000,0.080,0.025,0.010
0.000,0.000,0.970,0.000,0.000,0.005,0.000
0.085,0.000,1.000,0.010,0.000,0.005,0.005
0.005,0.000,0.995,0.000,0.000,0.000,0.000
0.040,0.000,0.970,0.005,0.005,0.000,0.000
0.020,0.000,1.000,0.010,0.000,0.000,0.005
0.145,0.005,0.995,0.035,0.010,0.000,0.010
0.000,0.000,0.995,0.005,0.000,0.000,0.000
0.990,0.015,0.375,0.100,0.355,0.020,0.275
0.865,0.005,0.335,0.035,0.135,0.000,0.220
0.720,0.030,0.350,0.135,1.000,0.005,0.120
0.995,0.005,0.280,0.175,0.270,0.000,0.280
0.070,0.005,0.155,0.995,0.010,0.045,0.025
0.090,0.070,0.090,1.000,0.025,0.120,0.010
0.025,0.000,0.995,0.005,0.000,0.000,0.000
1.000,0.000,0.095,0.015,0.265,0.000,0.285
0.000,0.000,1.000,0.005,0.000,0.000,0.000
1.000,0.000,0.225,0.035,0.170,0.005,0.395
0.085,0.010,0.170,1.000,0.035,0.025,0.005
0.970,0.000,0.175,0.110,0.135,0.000,0.170
0.490,0.000,0.265,0.050,1.000,0.000,0.035
0.125,0.010,0.120,1.000,0.065,0.015,0.005
1.000,0.010,0.340,0.070,0.230,0.005,0.335
0.065,0.120,0.150,0.995,0.050,0.275,0.000
0.035,0.000,0.995,0.005,0.000,0.000,0.000
0.120,0.150,0.130,1.000,0.040,0.155,0.005
0.080,0.105,0.310,0.805,0.005,1.000,0.030
0.080,0.040,0.055,1.000,0.025,0.135,0.000
0.000,0.000,1.000,0.000,0.000,0.000,0.000
1.000,0.000,0.175,0.050,0.110,0.000,0.300
0.115,0.995,0.135,0.315,0.090,0.075,0.000
0.125,0.165,0.200,1.000,0.065,0.270,0.010
0.070,0.060,0.075,1.000,0.015,0.125,0.000
0.955,0.000,0.225,0.090,0.210,0.000,0.270
0.150,0.200,0.240,1.000,0.090,0.235,0.035
0.860,0.040,0.355,0.110,0.130,0.030,0.405
0.550,0.010,0.255,0.090,0.920,0.000,0.080
0.100,0.080,0.240,0.995,0.035,0.275,0.000
0.900,0.005,0.165,0.025,0.200,0.005,0.210
0.010,0.905,0.130,0.220,0.030,0.020,0.000
0.175,0.025,1.000,0.065,0.025,0.000,0.020
0.010,0.000,1.000,0.005,0.000,0.000,0.000
0.070,0.000,0.995,0.015,0.000,0.000,0.000
0.195,0.170,0.265,1.000,0.070,0.165,0.015
0.105,0.005,0.095,1.000,0.040,0.025,0.010
0.990,0.000,0.215,0.000,0.115,0.000,0.210
0.000,0.000,1.000,0.005,0.005,0.000,0.005
0.920,0.035,0.385,0.165,0.250,0.010,0.405
0.065,0.080,1.000,0.060,0.130,0.085,0.100
1.000,0.015,0.245,0.160,0.285,0.000,0.345
0.080,0.165,0.160,1.000,0.065,0.175,0.000
0.925,0.035,0.480,0.185,0.195,0.065,0.300
0.060,0.115,0.305,0.750,0.005,1.000,0.015
0.160,0.015,0.135,1.000,0.070,0.030,0.005
0.005,0.000,1.000,0.020,0.000,0.005,0.000
0.080,0.000,1.000,0.010,0.000,0.000,0.010
0.195,0.060,0.995,0.080,0.035,0.000,0.025
1.000,0.000,0.175,0.020,0.160,0.000,0.290
0.095,0.045,0.110,1.000,0.035,0.120,0.005
0.035,0.000,0.975,0.020,0.005,0.000,0.000
0.080,0.005,0.070,0.940,0.035,0.055,0.000
0.080,0.005,1.000,0.025,0.000,0.000,0.000
0.100,0.090,0.090,1.000,0.055,0.095,0.000
0.950,0.070,0.360,0.170,0.350,0.100,0.270
1.000,0.000,0.160,0.010,0.140,0.000,0.350
0.115,0.110,0.100,1.000,0.035,0.150,0.005
0.990,0.010,0.265,0.065,0.215,0.005,0.335
0.045,0.000,0.995,0.005,0.000,0.000,0.000
1.000,0.010,0.320,0.065,0.280,0.005,0.345
0.180,0.140,0.145,0.990,0.115,0.115,0.020
1.000,0.000,0.195,0.005,0.185,0.000,0.220
0.650,0.000,0.370,0.075,1.000,0.005,0.100
0.120,0.010,0.180,1.000,0.100,0.075,0.010
1.000,0.010,0.230,0.085,0.210,0.010,0.375
0.970,0.005,0.220,0.070,0.295,0.005,0.095
0.025,0.005,0.980,0.035,0.010,0.005,0.000
0.090,0.000,1.000,0.020,0.005,0.000,0.000
0.060,0.005,1.000,0.005,0.010,0.005,0.005
0.005,0.000,1.000,0.000,0.000,0.000,0.000
1.000,0.000,0.265,0.095,0.230,0.000,0.335
0.150,0.010,0.970,0.045,0.050,0.005,0.015
0.035,0.085,0.105,1.000,0.010,0.190,0.000
0.995,0.000,0.305,0.040,0.110,0.005,0.230
0.005,0.000,1.000,0.000,0.000,0.000,0.000
0.955,0.000,0.505,0.070,0.200,0.005,0.260
1.000,0.010,0.275,0.050,0.285,0.000,0.270
0.095,0.155,0.180,0.920,0.070,0.130,0.000
0.025,0.000,1.000,0.035,0.015,0.005,0.005
0.015,0.000,0.965,0.015,0.005,0.000,0.000
0.195,0.010,1.000,0.065,0.020,0.000,0.010
0.110,0.010,0.115,1.000,0.115,0.025,0.000
0.005,0.005,1.000,0.020,0.000,0.000,0.000
0.075,0.000,0.995,0.065,0.000,0.000,0.000
0.000,0.000,1.000,0.000,0.000,0.000,0.000
0.015,0.000,1.000,0.000,0.000,0.000,0.005
0.005,0.000,1.000,0.015,0.000,0.000,0.000
1.000,0.020,0.425,0.155,0.315,0.005,0.410
0.110,0.065,1.000,0.080,0.135,0.090,0.115
0.000,0.000,1.000,0.005,0.000,0.000,0.000
0.935,0.080,0.405,0.205,0.225,0.010,0.410
0.655,0.010,0.240,0.090,1.000,0.000,0.080
0.110,0.000,0.985,0.005,0.005,0.000,0.000
0.195,0.055,0.995,0.080,0.050,0.000,0.025
0.015,0.000,1.000,0.010,0.000,0.000,0.005
0.025,0.000,1.000,0.020,0.000,0.000,0.000
1.000,0.010,0.210,0.055,0.230,0.015,0.455
0.010,0.000,0.960,0.030,0.000,0.000,0.000
1.000,0.000,0.180,0.005,0.175,0.000,0.320
1.000,0.005,0.260,0.060,0.170,0.005,0.370
0.285,0.020,1.000,0.060,0.040,0.010,0.035
0.805,0.085,0.190,0.090,0.210,0.085,0.200
0.005,0.000,1.000,0.005,0.000,0.000,0.000
1.000,0.000,0.150,0.020,0.145,0.000,0.235
0.130,0.000,0.195,1.000,0.125,0.035,0.000
0.010,0.000,1.000,0.005,0.000,0.000,0.000
0.630,0.075,0.535,0.115,0.215,0.105,0.240
0.000,0.000,0.995,0.000,0.000,0.000,0.000
0.885,0.040,0.415,0.135,0.185,0.020,0.310
0.135,0.010,0.125,1.000,0.075,0.030,0.005
0.005,0.010,0.830,0.000,0.000,0.000,0.000
0.020,0.000,1.000,0.030,0.015,0.010,0.005
0.005,0.000,1.000,0.000,0.000,0.000,0.000
0.115,0.010,0.995,0.075,0.025,0.000,0.020
0.245,0.070,1.000,0.145,0.165,0.105,0.110
0.095,0.065,0.105,1.000,0.030,0.090,0.005
0.035,0.065,0.150,0.995,0.015,0.190,0.000
1.000,0.000,0.320,0.080,0.160,0.005,0.355
0.005,1.000,0.060,0.140,0.005,0.015,0.000
0.050,0.055,0.175,0.990,0.040,0.055,0.000
0.890,0.030,0.385,0.185,0.245,0.010,0.355
0.000,0.000,1.000,0.005,0.000,0.000,0.000
0.075,0.000,1.000,0.025,0.020,0.000,0.005
0.125,0.005,0.145,1.000,0.050,0.040,0.005
0.960,0.000,0.110,0.005,0.175,0.000,0.200
1.000,0.000,0.195,0.080,0.175,0.005,0.240
0.015,0.020,0.090,0.995,0.005,0.090,0.010
0.000,0.000,1.000,0.000,0.000,0.000,0.000
0.100,0.150,0.120,1.000,0.060,0.165,0.005
1.000,0.000,0.170,0.070,0.170,0.000,0.310
0.125,0.165,0.330,0.780,0.120,1.000,0.125
0.090,0.000,1.000,0.045,0.015,0.005,0.010
0.080,0.050,0.175,0.855,0.025,0.070,0.000
0.225,0.030,0.260,0.995,0.155,0.080,0.050
0.005,1.000,0.050,0.155,0.045,0.010,0.000
0.000,0.000,1.000,0.005,0.000,0.000,0.000
0.100,0.100,0.125,1.000,0.100,0.140,0.015
1.000,0.000,0.305,0.010,0.205,0.010,0.330
0.005,1.000,0.050,0.210,0.010,0.005,0.000
0.000,0.000,1.000,0.000,0.000,0.000,0.000
0.085,0.010,0.990,0.020,0.015,0.000,0.025
0.005,0.000,1.000,0.000,0.000,0.000,0.000
0.105,0.120,0.145,0.840,0.010,0.125,0.005
0.095,0.010,0.080,1.000,0.030,0.040,0.005
0.005,0.000,0.960,0.005,0.005,0.000,0.000
0.920,0.070,0.405,0.105,0.245,0.100,0.255
1.000,0.000,0.255,0.135,0.190,0.000,0.340
0.985,0.050,0.370,0.115,0.285,0.020,0.225
0.005,0.010,0.955,0.000,0.000,0.000,0.005
0.120,0.020,1.000,0.035,0.015,0.000,0.005
0.095,0.045,0.255,1.000,0.050,0.100,0.015
0.905,0.030,0.400,0.100,0.240,0.005,0.210
0.195,0.055,1.000,0.080,0.060,0.000,0.025
0.040,0.065,0.255,0.830,0.010,0.990,0.015
0.010,0.000,1.000,0.005,0.000,0.000,0.000
0.070,0.000,1.000,0.005,0.000,0.000,0.015
0.010,0.000,1.000,0.000,0.000,0.000,0.000
0.120,0.130,0.145,0.995,0.070,0.115,0.000
0.180,0.010,1.000,0.065,0.020,0.000,0.010
0.125,0.000,0.995,0.010,0.015,0.000,0.005
0.020,0.000,0.990,0.000,0.000,0.000,0.005
0.220,0.095,1.000,0.160,0.045,0.005,0.050
0.075,0.095,0.100,1.000,0.055,0.140,0.000
0.000,0.000,0.995,0.000,0.000,0.000,0.005
0.855,0.030,0.410,0.130,0.130,0.025,0.420
0.105,0.165,0.130,1.000,0.075,0.175,0.015
0.060,0.060,0.990,0.080,0.125,0.095,0.100
0.070,0.110,0.165,0.865,0.135,0.105,0.095
0.750,0.030,0.355,0.145,1.000,0.005,0.145
0.260,0.045,0.205,1.000,0.195,0.045,0.065
0.885,0.060,0.365,0.105,0.210,0.005,0.300
0.240,0.080,0.265,0.995,0.260,0.135,0.110
0.085,0.130,0.150,1.000,0.055,0.155,0.010
0.285,0.045,0.270,1.000,0.155,0.045,0.045
0.150,0.095,0.240,1.000,0.150,0.135,0.015
0.110,0.140,0.150,0.995,0.045,0.080,0.000
0.100,0.000,1.000,0.020,0.005,0.000,0.005
0.110,0.120,0.430,0.915,0.025,1.000,0.020
0.020,0.000,1.000,0.005,0.000,0.000,0.000
0.010,0.000,1.000,0.010,0.000,0.000,0.005
0.035,0.005,1.000,0.040,0.000,0.000,0.005
1.000,0.000,0.155,0.085,0.135,0.000,0.265
0.235,0.035,0.285,1.000,0.150,0.065,0.015
0.010,0.000,0.855,0.010,0.000,0.010,0.000
0.025,0.000,0.995,0.000,0.005,0.000,0.005
1.000,0.000,0.160,0.050,0.145,0.000,0.305
0.190,0.010,0.170,1.000,0.100,0.030,0.005
0.095,0.000,0.995,0.010,0.005,0.000,0.005
0.010,0.040,0.100,1.000,0.020,0.095,0.000
1.000,0.000,0.165,0.010,0.220,0.000,0.075
1.000,0.000,0.130,0.005,0.115,0.000,0.250
0.055,0.025,0.180,0.985,0.040,0.080,0.020
0.100,0.045,0.100,0.980,0.020,0.125,0.000
0.020,0.000,1.000,0.000,0.000,0.000,0.000
0.000,0.000,1.000,0.025,0.005,0.005,0.000
0.020,0.000,0.995,0.015,0.000,0.000,0.005
1.000,0.000,0.215,0.005,0.140,0.000,0.285
0.975,0.000,0.330,0.035,0.175,0.000,0.090
0.005,1.000,0.065,0.315,0.010,0.050,0.005
0.170,0.090,1.000,0.070,0.085,0.015,0.035
0.015,0.000,1.000,0.000,0.000,0.000,0.000
