v1,v2,v3,v4,v5,v6,v7
0.020,0.000,0.895,0.005,0.025,0.000,0.000
0.005,0.000,0.825,0.015,0.015,0.000,0.000
0.005,0.000,0.830,0.010,0.015,0.000,0.000
0.015,0.000,0.830,0.005,0.025,0.000,0.000
0.005,0.005,0.915,0.025,0.030,0.005,0.005
0.035,0.015,0.905,0.020,0.045,0.000,0.000
0.020,0.000,0.795,0.015,0.010,0.000,0.000
0.010,0.000,0.795,0.010,0.015,0.000,0.000
0.005,0.000,0.845,0.010,0.015,0.000,0.000
0.000,0.000,0.790,0.000,0.010,0.000,0.000
0.000,0.000,0.900,0.015,0.025,0.000,0.000
0.010,0.000,0.865,0.005,0.015,0.005,0.000
0.005,0.000,0.810,0.005,0.015,0.000,0.000
0.000,0.000,0.815,0.000,0.010,0.000,0.000
0.025,0.000,0.840,0.010,0.015,0.000,0.000
0.010,0.000,0.895,0.005,0.025,0.000,0.010
0.045,0.005,0.905,0.030,0.040,0.005,0.000
0.015,0.000,0.830,0.005,0.015,0.000,0.000
0.000,0.000,0.880,0.005,0.010,0.000,0.000
0.005,0.000,0.850,0.000,0.010,0.005,0.000
0.015,0.000,0.845,0.005,0.030,0.000,0.000
0.010,0.000,0.855,0.010,0.020,0.000,0.010
0.000,0.000,0.895,0.010,0.020,0.000,0.000
0.005,0.000,0.895,0.020,0.015,0.000,0.000
0.005,0.000,0.930,0.000,0.005,0.000,0.000
0.000,0.000,0.850,0.005,0.005,0.000,0.000
0.045,0.000,0.890,0.015,0.025,0.010,0.000
0.010,0.000,0.890,0.005,0.015,0.000,0.000
0.010,0.000,0.890,0.015,0.015,0.000,0.005
0.000,0.000,0.885,0.005,0.010,0.000,0.000
0.005,0.015,0.695,0.005,0.010,0.000,0.010
0.015,0.000,0.910,0.030,0.045,0.005,0.005
0.015,0.000,0.830,0.005,0.030,0.000,0.000
0.000,0.000,0.855,0.005,0.015,0.000,0.000
0.010,0.000,0.815,0.005,0.015,0.000,0.000
0.030,0.000,0.915,0.010,0.020,0.005,0.005
0.010,0.000,0.830,0.005,0.020,0.005,0.000
0.025,0.000,0.840,0.010,0.010,0.000,0.000
0.005,0.000,0.840,0.020,0.025,0.000,0.005
0.020,0.005,0.915,0.020,0.025,0.005,0.005
0.045,0.000,0.905,0.025,0.065,0.005,0.005
0.000,0.005,0.785,0.005,0.015,0.000,0.000
0.005,0.000,0.890,0.005,0.010,0.000,0.005
0.000,0.000,0.860,0.005,0.015,0.000,0.005
0.020,0.005,0.820,0.015,0.015,0.000,0.000
0.005,0.000,0.865,0.005,0.015,0.000,0.000
0.010,0.000,0.755,0.005,0.020,0.000,0.000
0.000,0.000,0.860,0.005,0.020,0.000,0.000
0.030,0.000,0.840,0.015,0.010,0.005,0.005
