v1,v2,v3,v4,v5,v6,v7
0.100,0.040,0.615,0.160,0.030,0.005,0.030
0.075,0.065,0.430,0.275,0.015,0.005,0.000
0.070,0.070,0.525,0.125,0.000,0.005,0.020
0.070,0.055,0.405,0.250,0.020,0.005,0.010
0.030,0.100,0.700,0.245,0.005,0.055,0.000
0.045,0.095,0.670,0.210,0.005,0.030,0.020
0.055,0.095,0.655,0.265,0.005,0.045,0.000
0.055,0.065,0.435,0.295,0.015,0.000,0.000
0.070,0.020,0.570,0.150,0.000,0.000,0.035
0.045,0.115,0.665,0.245,0.010,0.050,0.015
0.030,0.010,0.555,0.115,0.005,0.000,0.010
0.110,0.100,0.495,0.355,0.035,0.005,0.010
0.010,0.020,0.575,0.100,0.000,0.005,0.005
0.120,0.075,0.360,0.115,0.005,0.010,0.005
0.075,0.085,0.430,0.220,0.025,0.010,0.005
0.035,0.010,0.565,0.105,0.010,0.000,0.005
0.060,0.115,0.685,0.305,0.010,0.060,0.015
0.030,0.110,0.675,0.290,0.010,0.065,0.005
0.080,0.030,0.680,0.195,0.020,0.005,0.010
0.040,0.000,0.645,0.170,0.010,0.010,0.025
0.020,0.100,0.705,0.240,0.000,0.040,0.000
0.015,0.085,0.615,0.090,0.000,0.050,0.000
0.040,0.025,0.645,0.090,0.000,0.000,0.015
0.150,0.160,0.435,0.375,0.015,0.005,0.010
0.055,0.090,0.720,0.235,0.010,0.030,0.010
0.100,0.135,0.675,0.340,0.040,0.065,0.015
0.035,0.010,0.635,0.070,0.010,0.005,0.015
0.125,0.090,0.600,0.210,0.135,0.090,0.115
0.185,0.010,0.605,0.030,0.015,0.005,0.015
0.120,0.090,0.460,0.335,0.035,0.005,0.020
0.035,0.030,0.715,0.290,0.025,0.000,0.010
0.060,0.070,0.720,0.275,0.010,0.055,0.010
0.020,0.040,0.615,0.105,0.010,0.005,0.010
0.135,0.120,0.510,0.360,0.045,0.005,0.010
0.115,0.045,0.470,0.400,0.045,0.000,0.005
0.030,0.105,0.710,0.250,0.010,0.050,0.000
0.030,0.020,0.605,0.125,0.000,0.005,0.005
0.045,0.020,0.665,0.120,0.010,0.005,0.005
0.085,0.060,0.420,0.285,0.020,0.005,0.000
0.020,0.040,0.615,0.080,0.015,0.000,0.000
0.025,0.030,0.550,0.140,0.005,0.005,0.000
0.020,0.040,0.550,0.070,0.020,0.005,0.005
0.060,0.100,0.505,0.270,0.005,0.005,0.005
0.030,0.115,0.715,0.275,0.010,0.060,0.005
0.045,0.085,0.680,0.200,0.010,0.025,0.010
0.120,0.000,0.625,0.050,0.010,0.000,0.015
0.035,0.000,0.555,0.060,0.005,0.000,0.015
0.035,0.090,0.700,0.280,0.010,0.045,0.000
0.065,0.105,0.685,0.305,0.010,0.050,0.010
