v1,v2,v3,v4,v5,v6,v7
0.025,0.005,0.930,0.030,0.020,0.005,0.015
0.100,0.035,0.225,1.000,0.030,0.115,0.000
0.150,0.035,0.235,0.815,0.050,0.100,0.000
0.000,0.000,0.835,0.000,0.000,0.000,0.000
0.105,0.095,0.195,0.985,0.090,0.090,0.010
0.010,0.000,0.945,0.005,0.000,0.000,0.000
0.090,0.020,0.210,1.000,0.040,0.055,0.010
0.000,0.000,0.930,0.000,0.000,0.000,0.000
0.140,0.120,0.135,0.950,0.075,0.205,0.005
0.735,0.005,0.235,0.015,0.090,0.000,0.685
0.145,0.035,0.135,0.995,0.115,0.135,0.000
0.225,0.095,0.235,0.985,0.085,0.120,0.015
0.130,0.025,0.220,1.000,0.015,0.050,0.005
0.005,0.965,0.065,0.135,0.015,0.025,0.000
0.015,0.040,0.055,1.000,0.010,0.150,0.000
0.025,0.000,0.930,0.000,0.000,0.000,0.005
0.090,0.005,0.065,0.980,0.040,0.065,0.000
0.185,0.215,0.200,0.985,0.070,0.175,0.010
0.085,0.010,0.335,0.955,0.025,0.080,0.010
0.205,0.185,0.200,0.970,0.180,0.150,0.030
0.000,0.000,0.965,0.000,0.005,0.000,0.000
0.970,0.000,0.035,0.000,0.225,0.000,0.100
0.080,0.010,0.185,1.000,0.015,0.050,0.005
0.030,0.040,0.115,0.970,0.050,0.170,0.000
0.005,0.995,0.070,0.180,0.030,0.015,0.000
0.000,0.000,0.945,0.000,0.000,0.000,0.000
0.080,0.010,0.120,0.995,0.025,0.045,0.005
0.030,0.000,0.930,0.005,0.010,0.000,0.010
0.985,0.000,0.175,0.000,0.195,0.000,0.075
0.040,0.000,0.965,0.025,0.005,0.005,0.005
1.000,0.000,0.225,0.035,0.235,0.000,0.245
0.085,0.055,0.155,1.000,0.090,0.095,0.000
0.000,0.000,0.770,0.000,0.000,0.000,0.000
1.000,0.000,0.260,0.015,0.200,0.000,0.250
0.005,0.000,0.960,0.015,0.015,0.005,0.000
0.085,0.045,0.115,0.990,0.030,0.135,0.005
0.090,0.010,0.110,1.000,0.025,0.040,0.005
0.005,0.000,0.945,0.000,0.000,0.000,0.000
0.180,0.005,0.215,1.000,0.065,0.065,0.005
0.125,0.070,0.305,0.975,0.020,0.070,0.010
0.650,0.000,0.340,0.070,1.000,0.000,0.080
0.125,0.040,0.230,0.995,0.075,0.090,0.015
0.075,0.050,0.125,0.995,0.010,0.120,0.000
0.115,0.050,0.180,1.000,0.095,0.150,0.005
1.000,0.000,0.155,0.010,0.125,0.000,0.250
0.625,0.010,0.325,0.085,0.990,0.000,0.095
0.040,0.040,0.235,0.985,0.080,0.095,0.015
0.190,0.040,0.110,0.995,0.045,0.160,0.000
0.075,0.015,0.235,1.000,0.035,0.045,0.000
0.070,0.000,0.965,0.020,0.000,0.000,0.005
0.110,0.070,0.185,1.000,0.075,0.125,0.000
0.000,0.000,0.960,0.005,0.010,0.000,0.005
0.005,0.000,0.680,0.000,0.000,0.000,0.000
0.015,0.000,0.900,0.020,0.000,0.000,0.005
0.090,0.020,0.115,1.000,0.055,0.045,0.000
0.000,0.000,0.915,0.020,0.000,0.000,0.000
0.000,0.000,0.950,0.000,0.000,0.000,0.000
0.000,0.000,0.945,0.010,0.000,0.000,0.005
0.710,0.000,0.310,0.045,0.995,0.000,0.075
0.005,0.000,0.995,0.015,0.005,0.000,0.000
0.030,0.000,0.110,0.995,0.105,0.065,0.000
0.015,0.040,0.055,1.000,0.020,0.135,0.000
0.615,0.010,0.355,0.100,0.995,0.000,0.105
0.010,0.010,0.060,0.975,0.040,0.050,0.000
0.105,0.100,0.135,1.000,0.095,0.265,0.005
0.095,0.155,0.190,0.990,0.060,0.235,0.000
0.000,0.000,0.905,0.005,0.000,0.000,0.000
0.030,0.005,0.095,1.000,0.025,0.055,0.005
0.005,0.000,0.990,0.010,0.000,0.000,0.005
0.200,0.135,0.240,0.990,0.080,0.140,0.005
0.000,0.000,0.845,0.000,0.000,0.000,0.000
0.100,0.015,0.120,0.945,0.090,0.040,0.035
0.220,0.150,0.235,0.975,0.115,0.180,0.000
0.000,0.000,0.910,0.005,0.000,0.000,0.000
0.075,0.005,0.135,1.000,0.080,0.060,0.010
0.010,0.000,0.905,0.000,0.000,0.000,0.000
0.020,0.000,0.955,0.020,0.005,0.000,0.005
0.020,0.050,0.060,1.000,0.030,0.145,0.000
0.005,0.000,0.895,0.000,0.000,0.005,0.000
1.000,0.005,0.145,0.040,0.255,0.005,0.235
0.130,0.125,0.150,0.990,0.065,0.110,0.005
0.135,0.055,0.180,1.000,0.075,0.140,0.005
0.015,0.000,0.815,0.010,0.000,0.000,0.000
0.200,0.040,0.295,0.985,0.090,0.060,0.035
0.115,0.010,0.290,0.985,0.110,0.135,0.005
0.050,0.015,0.090,0.995,0.035,0.025,0.010
0.005,0.950,0.045,0.270,0.005,0.020,0.000
0.010,0.985,0.040,0.140,0.010,0.025,0.000
0.000,0.000,0.935,0.000,0.000,0.000,0.000
0.120,0.015,0.180,0.890,0.095,0.030,0.000
0.000,0.000,0.840,0.000,0.000,0.000,0.000
0.140,0.025,0.230,0.990,0.065,0.050,0.010
0.095,0.005,0.120,1.000,0.025,0.035,0.000
0.185,0.055,0.190,0.990,0.075,0.130,0.010
1.000,0.000,0.140,0.005,0.150,0.000,0.255
0.085,0.040,0.170,0.985,0.030,0.105,0.010
0.005,0.995,0.065,0.220,0.030,0.030,0.000
0.635,0.020,0.435,0.110,0.995,0.000,0.060
0.000,0.005,0.985,0.005,0.000,0.000,0.000
0.000,0.000,0.960,0.000,0.000,0.000,0.000
0.045,0.025,0.960,0.045,0.005,0.000,0.005
0.095,0.090,0.160,0.985,0.070,0.215,0.005
0.130,0.000,0.985,0.030,0.005,0.000,0.015
0.065,0.010,0.155,0.985,0.025,0.040,0.005
0.080,0.000,0.975,0.005,0.015,0.000,0.005
1.000,0.000,0.250,0.030,0.255,0.000,0.250
0.590,0.000,0.260,0.070,0.995,0.000,0.065
0.190,0.110,0.365,0.950,0.090,0.165,0.005
0.115,0.065,0.180,1.000,0.050,0.170,0.015
0.535,0.010,0.295,0.135,1.000,0.000,0.105
0.125,0.040,0.140,0.990,0.080,0.075,0.010
0.005,0.000,0.925,0.015,0.000,0.000,0.000
0.985,0.015,0.285,0.045,0.260,0.010,0.220
0.010,0.000,0.985,0.000,0.005,0.000,0.000
0.570,0.010,0.300,0.090,0.990,0.000,0.095
0.010,0.000,0.975,0.005,0.005,0.000,0.000
0.035,0.035,0.080,1.000,0.010,0.115,0.000
0.065,0.010,0.120,0.985,0.020,0.035,0.005
0.095,0.040,0.130,1.000,0.035,0.140,0.000
0.120,0.070,0.195,0.995,0.080,0.150,0.015
0.035,0.005,0.985,0.020,0.010,0.000,0.005
0.940,0.000,0.100,0.000,0.140,0.000,0.180
0.065,0.030,0.325,0.965,0.035,0.065,0.000
0.005,0.000,0.955,0.000,0.005,0.000,0.005
0.005,0.000,0.980,0.005,0.000,0.000,0.000
0.015,0.000,0.955,0.005,0.000,0.000,0.005
0.000,0.000,1.000,0.000,0.000,0.000,0.000
0.040,0.040,0.160,1.000,0.040,0.165,0.000
0.170,0.090,0.170,0.995,0.080,0.175,0.010
0.000,0.000,0.990,0.000,0.000,0.000,0.000
0.125,0.060,0.250,1.000,0.045,0.115,0.000
0.015,0.000,0.790,0.005,0.005,0.000,0.005
0.055,0.035,0.165,0.995,0.055,0.155,0.000
0.090,0.010,0.115,1.000,0.025,0.095,0.005
1.000,0.000,0.160,0.015,0.085,0.000,0.240
0.995,0.060,0.255,0.110,0.250,0.000,0.345
0.010,0.050,0.140,0.985,0.015,0.110,0.000
0.650,0.005,0.250,0.095,0.995,0.000,0.075
0.025,0.045,0.145,1.000,0.020,0.140,0.000
1.000,0.000,0.170,0.025,0.115,0.005,0.140
0.070,0.035,0.935,0.070,0.015,0.000,0.010
0.000,0.000,0.930,0.000,0.000,0.000,0.000
0.285,0.205,0.205,0.990,0.130,0.195,0.020
0.005,1.000,0.110,0.315,0.015,0.005,0.000
0.010,0.000,0.965,0.010,0.000,0.005,0.000
0.995,0.000,0.150,0.015,0.120,0.005,0.240
0.040,0.055,0.120,0.990,0.025,0.115,0.000
0.100,0.035,0.180,0.985,0.060,0.085,0.000
0.680,0.000,0.225,0.070,1.000,0.000,0.070
0.190,0.010,0.305,0.995,0.095,0.095,0.010
0.105,0.090,0.245,1.000,0.075,0.035,0.005
0.160,0.025,0.895,0.060,0.050,0.020,0.020
0.035,0.005,0.970,0.045,0.020,0.000,0.005
0.045,0.005,0.090,1.000,0.090,0.095,0.005
0.065,0.010,0.170,0.995,0.030,0.080,0.005
0.020,0.005,0.975,0.000,0.005,0.000,0.000
0.060,0.955,0.170,0.250,0.035,0.060,0.015
0.015,0.000,0.965,0.005,0.000,0.000,0.000
0.015,0.000,0.945,0.020,0.000,0.000,0.000
0.000,0.000,0.965,0.000,0.010,0.000,0.000
0.130,0.010,0.165,1.000,0.060,0.050,0.015
0.665,0.000,0.310,0.130,0.995,0.000,0.110
1.000,0.005,0.365,0.055,0.280,0.005,0.335
0.170,0.120,0.265,0.985,0.175,0.150,0.105
0.610,0.010,0.335,0.105,0.995,0.000,0.100
0.020,0.070,0.155,0.980,0.015,0.100,0.000
0.035,0.000,0.970,0.035,0.000,0.000,0.010
0.060,0.005,0.970,0.090,0.020,0.005,0.015
0.135,0.005,0.215,1.000,0.045,0.040,0.005
0.975,0.010,0.285,0.100,0.205,0.000,0.190
0.010,0.985,0.040,0.140,0.010,0.025,0.000
0.000,0.000,0.830,0.010,0.000,0.000,0.000
0.155,0.070,0.240,0.980,0.045,0.205,0.015
0.150,0.155,0.310,0.975,0.115,0.195,0.020
0.190,0.065,0.190,0.990,0.025,0.075,0.005
0.065,0.030,0.325,0.965,0.035,0.065,0.000
0.090,0.045,0.115,0.990,0.030,0.140,0.005
0.000,0.000,0.960,0.000,0.000,0.000,0.000
0.120,0.060,0.190,0.995,0.040,0.150,0.000
0.000,0.000,0.930,0.000,0.000,0.000,0.000
0.065,0.025,0.265,0.985,0.075,0.095,0.000
0.055,0.085,0.100,1.000,0.005,0.040,0.010
0.065,0.010,0.335,0.990,0.030,0.080,0.000
0.100,0.040,0.240,1.000,0.035,0.200,0.005
0.085,0.090,0.190,0.995,0.060,0.205,0.010
0.140,0.100,0.225,0.990,0.070,0.175,0.005
0.115,0.055,0.145,0.935,0.040,0.205,0.000
0.065,0.005,0.125,0.985,0.035,0.035,0.005
0.015,0.005,0.090,1.000,0.015,0.055,0.000
0.000,0.000,0.840,0.000,0.000,0.000,0.000
0.005,0.000,0.965,0.000,0.000,0.000,0.005
0.000,0.000,0.940,0.010,0.000,0.000,0.000
0.160,0.120,0.160,0.990,0.140,0.220,0.115
0.125,0.060,0.120,0.985,0.090,0.185,0.000
0.245,0.140,0.260,0.985,0.095,0.135,0.005
0.045,0.000,0.970,0.035,0.000,0.000,0.000
0.065,0.075,0.190,0.995,0.000,0.120,0.005
0.930,0.000,0.100,0.005,0.110,0.000,0.175
0.000,0.000,0.995,0.005,0.000,0.000,0.000
0.595,0.005,0.300,0.180,0.990,0.005,0.115
0.005,0.000,0.680,0.000,0.000,0.000,0.000
0.580,0.005,0.345,0.105,0.990,0.000,0.095
0.030,0.005,0.895,0.015,0.000,0.005,0.000
1.000,0.000,0.110,0.010,0.155,0.000,0.275
0.125,0.015,0.315,1.000,0.070,0.090,0.010
0.085,0.055,0.095,1.000,0.020,0.105,0.000
0.920,0.000,0.120,0.005,0.170,0.000,0.125
0.000,0.000,0.825,0.000,0.000,0.000,0.000
0.250,0.200,0.470,0.945,0.125,0.065,0.030
0.110,0.035,0.165,0.990,0.085,0.070,0.005
0.010,0.005,0.900,0.000,0.000,0.000,0.000
0.095,0.060,0.105,0.975,0.090,0.110,0.000
0.195,0.065,0.215,1.000,0.090,0.150,0.020
0.150,0.040,0.220,0.980,0.105,0.120,0.005
0.995,0.000,0.320,0.035,0.160,0.015,0.195
0.010,0.010,0.065,0.970,0.040,0.045,0.000
0.175,0.115,0.170,0.990,0.130,0.230,0.105
0.080,0.015,0.200,1.000,0.065,0.100,0.000
1.000,0.000,0.245,0.025,0.260,0.000,0.250
0.160,0.090,0.320,0.930,0.090,0.130,0.005
0.110,0.035,0.215,1.000,0.045,0.120,0.005
0.045,0.000,0.945,0.015,0.005,0.010,0.000
0.080,0.015,0.200,1.000,0.065,0.100,0.000
0.655,0.000,0.210,0.070,1.000,0.000,0.085
0.995,0.000,0.220,0.020,0.085,0.000,0.105
0.260,0.070,0.320,0.985,0.130,0.145,0.010
0.010,0.000,0.995,0.015,0.000,0.000,0.000
0.980,0.000,0.170,0.015,0.310,0.005,0.275
0.005,0.000,0.975,0.030,0.005,0.000,0.000
0.015,0.000,0.990,0.025,0.005,0.000,0.000
0.080,0.025,0.260,0.995,0.045,0.055,0.000
0.025,0.050,0.150,1.000,0.035,0.095,0.000
0.080,0.005,0.335,1.000,0.075,0.090,0.000
0.085,0.015,0.215,0.995,0.060,0.040,0.005
0.020,1.000,0.045,0.310,0.015,0.025,0.000
0.005,0.000,0.980,0.010,0.005,0.000,0.000
0.000,0.000,0.985,0.010,0.000,0.000,0.000
0.100,0.040,0.115,0.990,0.055,0.145,0.005
0.875,0.000,0.210,0.005,0.130,0.000,0.095
0.070,0.000,1.000,0.045,0.015,0.000,0.005
0.080,0.040,0.240,0.980,0.045,0.125,0.005
0.130,0.060,0.175,1.000,0.090,0.135,0.025
0.185,0.100,0.210,1.000,0.095,0.145,0.005
0.220,0.075,0.245,1.000,0.100,0.075,0.035
0.000,0.000,0.905,0.005,0.005,0.000,0.000
0.050,0.055,0.160,1.000,0.015,0.170,0.000
0.040,0.000,0.945,0.060,0.010,0.005,0.000
0.015,0.050,0.090,0.995,0.035,0.110,0.000
0.095,0.035,0.230,1.000,0.065,0.095,0.000
0.635,0.010,0.205,0.075,0.960,0.000,0.090
0.050,0.025,0.225,0.805,0.080,0.065,0.005
0.085,0.160,0.140,1.000,0.030,0.110,0.005
0.015,0.000,0.960,0.015,0.005,0.005,0.005
0.015,0.000,0.910,0.010,0.005,0.000,0.000
0.060,0.055,0.230,1.000,0.115,0.200,0.000
0.130,0.010,0.590,0.990,0.020,0.145,0.010
0.000,0.000,0.840,0.000,0.000,0.000,0.000
0.030,0.010,0.090,0.960,0.020,0.045,0.000
0.100,0.045,0.200,1.000,0.070,0.050,0.005
0.010,0.775,0.120,0.225,0.015,0.015,0.000
0.000,0.000,0.985,0.005,0.000,0.000,0.000
0.105,0.040,0.175,0.995,0.045,0.085,0.000
0.030,0.055,0.125,0.975,0.020,0.060,0.000
0.120,0.010,0.090,0.995,0.070,0.020,0.010
0.510,0.000,0.330,0.080,0.980,0.000,0.090
0.060,0.000,0.985,0.090,0.025,0.005,0.010
0.600,0.020,0.330,0.110,0.995,0.000,0.090
0.090,0.040,0.185,0.905,0.095,0.100,0.025
0.015,0.000,0.990,0.020,0.015,0.000,0.005
0.185,0.130,0.250,0.965,0.165,0.215,0.105
0.015,0.000,0.910,0.000,0.000,0.000,0.000
0.155,0.090,0.170,0.995,0.080,0.195,0.000
0.100,0.015,0.130,1.000,0.055,0.025,0.005
0.090,0.080,0.185,0.990,0.170,0.160,0.110
0.125,0.005,0.315,0.995,0.065,0.070,0.010
0.070,0.010,0.120,0.985,0.030,0.030,0.000
0.060,0.035,0.335,0.965,0.035,0.070,0.000
0.005,0.000,0.990,0.030,0.000,0.005,0.000
0.295,0.085,0.370,1.000,0.225,0.205,0.110
0.005,0.000,0.990,0.020,0.000,0.000,0.005
0.020,0.065,0.150,0.990,0.030,0.115,0.000
0.965,0.005,0.175,0.030,0.310,0.005,0.210
0.110,0.000,1.000,0.020,0.015,0.005,0.020
0.135,0.065,0.235,1.000,0.065,0.135,0.005
0.980,0.000,0.160,0.000,0.120,0.000,0.160
0.190,0.050,0.350,0.995,0.105,0.060,0.005
0.185,0.100,0.280,1.000,0.175,0.175,0.125
0.125,0.090,0.165,0.975,0.095,0.200,0.025
0.005,0.000,0.945,0.000,0.000,0.000,0.000
0.035,0.005,0.140,0.960,0.015,0.055,0.000
1.000,0.000,0.170,0.020,0.125,0.000,0.220
0.000,0.000,0.950,0.005,0.000,0.000,0.000
0.065,0.105,0.125,0.995,0.020,0.045,0.010
0.985,0.000,0.135,0.000,0.195,0.000,0.145
0.160,0.040,0.185,1.000,0.040,0.085,0.000
0.655,0.005,0.300,0.095,1.000,0.000,0.060
0.995,0.000,0.160,0.010,0.130,0.000,0.240
0.005,0.000,0.905,0.005,0.005,0.000,0.000
0.030,0.000,0.970,0.015,0.000,0.005,0.005
0.125,0.110,0.155,0.995,0.120,0.185,0.110
0.220,0.100,0.210,0.995,0.085,0.180,0.010
0.000,0.000,0.855,0.000,0.000,0.000,0.000
0.050,0.000,0.965,0.025,0.000,0.005,0.005
0.075,0.005,0.175,0.965,0.025,0.075,0.000
0.145,0.065,0.110,0.995,0.055,0.105,0.010
0.065,0.030,0.335,0.965,0.035,0.120,0.000
0.845,0.000,0.170,0.000,0.125,0.000,0.640
0.000,0.000,0.840,0.000,0.000,0.000,0.000
0.000,0.000,0.970,0.000,0.005,0.000,0.000
0.110,0.045,0.210,1.000,0.055,0.195,0.010
0.240,0.095,0.305,0.990,0.230,0.170,0.005
0.155,0.120,0.150,0.995,0.135,0.200,0.110
0.000,0.000,0.975,0.000,0.000,0.000,0.000
0.085,0.020,0.970,0.070,0.065,0.005,0.030
0.665,0.000,0.235,0.065,1.000,0.000,0.065
0.795,0.000,0.170,0.005,0.060,0.000,0.115
0.215,0.020,0.335,1.000,0.085,0.045,0.035
0.165,0.055,0.195,1.000,0.125,0.110,0.000
0.075,0.080,0.980,0.075,0.145,0.090,0.110
0.065,0.030,0.325,0.965,0.035,0.065,0.000
0.015,0.000,0.945,0.015,0.000,0.005,0.005
0.015,0.000,0.965,0.005,0.000,0.000,0.000
0.000,0.000,0.990,0.000,0.000,0.000,0.000
0.140,0.080,0.130,0.985,0.100,0.215,0.000
0.130,0.040,0.165,0.975,0.115,0.055,0.000
0.000,0.000,0.920,0.000,0.000,0.000,0.000
