Antibody,Threshold,OASis Percentile,OASis Identity,Heavy V Germline,Heavy J Germline,Heavy OASis Percentile,Heavy OASis Identity,Heavy Non-human peptides,Light V Germline,Light J Germline,Light OASis Percentile,Light OASis Identity,Light Non-human peptides
10002_seq1,relaxed,0.32990909090909,0.736363636363636,IGHV3-21*01,IGHJ4*01,0.407181818181818,0.736363636363636,29,,,,,
10002_seq2,relaxed,0.133097087378641,0.660194174757282,,,,,,IGKV1-33*01,IGKJ1*01,0.126135922330097,0.660194174757282,35
10010_seq1,relaxed,1,1,,,,,,IGKV3-20*01,IGKJ1*01,1,1,0
10010_seq2,relaxed,0.910008849557522,0.955752212389381,IGHV3-7*01,IGHJ4*01,0.968106194690265,0.955752212389381,5,,,,,
10013_seq1,relaxed,1,1,,,,,,IGKV1-5*03,IGKJ2*01,1,1,0
10013_seq2,relaxed,0.779728813559322,0.915254237288135,IGHV3-43*02,IGHJ3*02,0.863762711864407,0.915254237288135,10,,,,,
10018_seq1,relaxed,0.931380952380952,0.961904761904762,,,,,,IGKV1-39*01,IGKJ1*01,0.766666666666667,0.961904761904762,4
10018_seq2,relaxed,0.551620689655172,0.810344827586207,IGHV3-23*04,IGHJ6*01,0.586,0.810344827586207,22,,,,,
10033_seq1,relaxed,1,1,,,,,,IGKV3-15*01,IGKJ1*01,1,1,0
10033_seq2,relaxed,0.739513513513513,0.900900900900901,IGHV4-34*01,IGHJ1*01,0.823432432432432,0.900900900900901,11,,,,,
10035_seq1,relaxed,0.257803738317757,0.719626168224299,IGHV4-4*08,IGHJ4*01,0.365504672897196,0.719626168224299,30,,,,,
10035_seq2,relaxed,0.415181818181818,0.757575757575758,,,,,,IGKV1-33*01,IGKJ4*01,0.323757575757575,0.757575757575758,24
10037_seq1,relaxed,0.269928571428571,0.723214285714286,IGHV1-46*01,IGHJ4*01,0.374392857142857,0.723214285714286,31,,,,,
10037_seq2,relaxed,0.476097087378641,0.776699029126214,,,,,,IGKV1-39*01,IGKJ4*01,0.371087378640776,0.776699029126214,23
10041_seq1,relaxed,0.884727272727273,0.94949494949495,,,,,,IGKV1-12*01,IGKJ1*01,0.749838383838384,0.94949494949495,5
10041_seq2,relaxed,0.632532110091743,0.853211009174312,IGHV3-23*01,IGHJ3*02,0.711669724770642,0.853211009174312,16,,,,,
10051_seq1,relaxed,0.733407407407407,0.898148148148148,IGHV1-69*01,IGHJ4*01,0.815629629629629,0.898148148148148,11,,,,,
10051_seq2,relaxed,0.603,0.84,,,,,,IGLV3-9*01,IGLJ2*01,0.56,0.84,16
10059_seq1,relaxed,0.950861386138614,0.97029702970297,,,,,,IGKV3-11*01,IGKJ2*01,0.778356435643564,0.97029702970297,3
10059_seq2,relaxed,0.908428571428572,0.955357142857143,IGHV3-33*01,IGHJ3*02,0.967,0.955357142857143,5,,,,,
10060_seq1,relaxed,1,1,,,,,,IGKV1D-16*01,IGKJ2*01,1,1,0
10060_seq2,relaxed,0.705607142857143,0.883928571428571,IGHV3/OR16-10*01,IGHJ4*01,0.778035714285714,0.883928571428571,13,,,,,
10062_seq1,relaxed,1,1,,,,,,IGLV2-14*03,IGLJ1*01,1,1,0
10062_seq2,relaxed,0.422892857142857,0.758928571428571,IGHV3-23*01,IGHJ4*01,0.453035714285714,0.758928571428571,27,,,,,
10064_seq1,relaxed,0.249949494949495,0.717171717171717,,,,,,IGKV1-39*01,IGKJ4*01,0.216040404040404,0.717171717171717,28
10064_seq2,relaxed,0.358061946902655,0.743362831858407,IGHV1-2*02,IGHJ1*01,0.42641592920354,0.743362831858407,29,,,,,
10065_seq1,relaxed,0.444567567567567,0.765765765765766,IGHV4-4*02,IGHJ4*01,0.470720720720721,0.765765765765766,26,,,,,
10065_seq2,relaxed,0.36669696969697,0.747474747474748,,,,,,IGKV1-33*01,IGKJ1*01,0.289161616161616,0.747474747474748,25
10068_seq1,relaxed,0.0717272727272727,0.545454545454545,,,,,,IGKV1-12*01,IGKJ2*01,0.0479090909090909,0.545454545454545,45
10068_seq2,relaxed,0.0434642857142857,0.508928571428571,IGHV1-46*01,IGHJ4*01,0.0765714285714286,0.508928571428571,55,,,,,
10071_seq1,relaxed,0.004,0.378378378378378,IGHV1-3*01,IGHJ3*01,0.0225135135135135,0.378378378378378,69,,,,,
10071_seq2,relaxed,0.118818181818182,0.646464646464646,,,,,,IGKV1-39*01,IGKJ2*01,0.110111111111111,0.646464646464646,35
10078_seq1,relaxed,0.004,0.378378378378378,IGHV1-3*01,IGHJ3*01,0.0225135135135135,0.378378378378378,69,,,,,
10078_seq2,relaxed,0.118818181818182,0.646464646464646,,,,,,IGKV1-39*01,IGKJ2*01,0.110111111111111,0.646464646464646,35
10080_seq1,relaxed,0.143646017699115,0.672566371681416,IGHV1-18*01,IGHJ3*01,0.229699115044248,0.672566371681416,37,,,,,
10080_seq2,relaxed,0.429,0.76,,,,,,IGKV1-39*01,IGKJ2*01,0.332,0.76,24
10080_seq3,relaxed,0.143646017699115,0.672566371681416,IGHV1-18*01,IGHJ3*01,0.229699115044248,0.672566371681416,37,,,,,
10082_seq1,relaxed,1,1,,,,,,IGKV3-15*01,IGKJ1*01,1,1,0
10082_seq2,relaxed,0.739513513513513,0.900900900900901,IGHV4-34*01,IGHJ1*01,0.823432432432432,0.900900900900901,11,,,,,
10087_seq1,relaxed,0.978414141414141,0.97979797979798,,,,,,IGKV1-27*01,IGKJ4*01,0.789757575757576,0.97979797979798,2
10087_seq2,relaxed,0.775642857142857,0.910714285714286,IGHV3-23*01,IGHJ3*01,0.850142857142857,0.910714285714286,10,,,,,
10090_seq1,relaxed,0.528,0.8,IGHV3-23*01,IGHJ3*02,0.569,0.8,22,,,,,
